title,description,file size and date,additional keywords,link,derived_link
Athenian ,"['Athenian ', 'democracy', ' developed around the 6th century BC in the Greek city-state (known as a polis) of Athens, comprising the city of Athens and the surrounding...']","['80 KB (10,856 words) - 05:00, 8 November 2023']",[],/wiki/Athenian_democracy,
Illiberal ,"['An illiberal ', 'democracy', ' describes a governing system that hides its ""nondemocratic practices behind formally democratic institutions and procedures"". There...']","['30 KB (3,423 words) - 04:51, 20 September 2023']",[],/wiki/Illiberal_democracy,
Deliberative ,"['Deliberative ', 'democracy', ' or discursive ', 'democracy', ' is a form of ', 'democracy', ' in which deliberation is central to decision-making. Deliberative ', 'democracy', ' seeks quality...']","['32 KB (3,456 words) - 14:15, 3 November 2023']",[],/wiki/Deliberative_democracy,
Social ,"['Social ', 'democracy', ' is a political, social, and economic philosophy within socialism that supports political and economic ', 'democracy', '. As a policy regime,...']","['152 KB (16,557 words) - 15:14, 5 November 2023']",[],/wiki/Social_democracy,
Guided ,"['Guided ', 'democracy', ', also called managed ', 'democracy', ', is a formally democratic government that functions as a de facto authoritarian government or, in some...']","['6 KB (531 words) - 15:03, 29 September 2023']",[],/wiki/Guided_democracy,
Democracy,"['Democracy', ' promotion, also referred to as ', 'democracy', ' building, can be domestic policy to increase the quality of already existing ', 'democracy', ' or a strand...']","['30 KB (3,263 words) - 11:53, 3 September 2023']",[],/wiki/Democracy_promotion,
Christian ,"['Christian ', 'democracy', ' is a political ideology inspired by Christian social teaching to respond to the challenges of contemporary society and politics. During...']","['106 KB (12,707 words) - 06:00, 5 November 2023']",[],/wiki/Christian_democracy,
Religious ,"['Religious ', 'democracy', ' is a form of government where the values of a particular religion affect laws and rules. The term applies to all countries in which...']","['4 KB (485 words) - 13:32, 24 August 2023']",[],/wiki/Religious_democracy,
Taishō ,"['Taishō ', 'Democracy', ' was a liberal and democratic trend across the political, economic, and cultural fields in Japan that began roughly after the Russo-Japanese...']","['14 KB (1,993 words) - 15:58, 15 December 2022']",[],/wiki/Taish%C5%8D_Democracy,
Buddhism and ,"['The relationship between Buddhism and ', 'democracy', ' has a long history with some scholars claiming the very foundations of Buddhist society were democratic...']","['12 KB (1,370 words) - 01:43, 28 April 2023']",[],/wiki/Buddhism_and_democracy,
National Endowment for ,"['National Endowment for ', 'Democracy', ' (NED) is a non-governmental organization in the United States founded in 1983 to advance ', 'democracy', ' worldwide by promoting...']","['57 KB (4,930 words) - 01:27, 4 November 2023']",[],/wiki/National_Endowment_for_Democracy,
Chinese views on ,"['Chinese scholars, thinkers, and policy-makers have debated about ', 'democracy', ', an idea which was first imported by Western colonial powers but which some...']","['13 KB (1,615 words) - 04:40, 29 August 2023']",[],/wiki/Chinese_views_on_democracy,
Democracy,"['the proletariat to the position of ruling class, to win the battle for ', 'democracy', '"" and universal suffrage, being ""one of the first and most important tasks...']","['16 KB (1,929 words) - 16:04, 18 August 2023']",[],/wiki/Democracy_in_Marxism,
Nepalese ,"['The Nepalese ', 'democracy', ' movement was the combination of a series of political initiatives and movements from the 20th century to 2008 that advocated the...']","['23 KB (2,506 words) - 02:59, 2 July 2023']",[],/wiki/Nepalese_democracy_movement,
History of ,"['A ', 'democracy', ' is a political system, or a system of decision-making within an institution, organization, or state, in which all members have an equal share...']","['117 KB (14,009 words) - 17:46, 6 November 2023']",[],/wiki/History_of_democracy,
Industrial ,"['Industrial ', 'democracy', ' is an arrangement which involves workers making decisions, sharing responsibility and authority in the workplace. While in participative...']","['10 KB (1,101 words) - 07:04, 22 April 2023']",[],/wiki/Industrial_democracy,
Soviet ,"['Soviet ', 'democracy', ', or council ', 'democracy', "", is a political system in which the rule of the population is exercised by directly elected soviets, or workers'...""]","['34 KB (4,199 words) - 11:10, 30 October 2023']",[],/wiki/Soviet_democracy,
The Crisis of ,"['The Crisis of ', 'Democracy', ': On the Governability of ', 'Democracies', ' is a key report written in 1975 by Michel Crozier, Samuel P. Huntington, and Joji Watanuki...']","['6 KB (645 words) - 20:32, 27 September 2023']",[],/wiki/The_Crisis_of_Democracy,
Democracy,"['The ', 'Democracy', ' Ranking is an index compiled by the Association for Development and Advancement of the ', 'Democracy', ' Award, an Austria-based non-partisan organization...']","['23 KB (1,106 words) - 13:28, 22 September 2023']",[],/wiki/Democracy_Ranking,
Why ,"['Why ', 'Democracy', '? is a documentary film series produced by The Why Foundation, previously named Steps International. The series consists of 10 films depicting...']","['6 KB (599 words) - 20:00, 20 August 2022']",[],/wiki/Why_Democracy%3F,
Waves of ,"['In political science, the waves of ', 'democracy', ' or waves of democratization are major surges of ', 'democracy', ' that have occurred in history. Although the term...']","['17 KB (2,050 words) - 14:31, 31 October 2023']",[],/wiki/Waves_of_democracy,
Procedural ,"['Procedural ', 'democracy', ' or proceduralist ', 'democracy', ', proceduralism or Hollow ', 'Democracy', ' is a term used to denote the particular procedures, such as regular...']","['3 KB (316 words) - 23:18, 11 September 2023']",[],/wiki/Procedural_democracy,
Democracy,"['state elected by the electoral college. Pakistan is one of the youngest ', 'democracies', "" in the world, established in 2003. Pakistan's political system is based...""]","['6 KB (625 words) - 09:56, 6 October 2023']",[],/wiki/Democracy_in_Pakistan,
Democracy,"['only ', 'democracy', ' (also ""flawed ', 'democracy', '"") in North Africa. The level of ', 'democracy', ' in nations throughout the world published by various ', 'democracy', ' indices...']","['45 KB (5,480 words) - 07:44, 29 October 2023']",[],/wiki/Democracy_in_the_Middle_East_and_North_Africa,
Democracy,"['by Alexis de Tocqueville. Its title can be translated literally as Of ', 'Democracy', ' in America. In the book, Tocqueville examines the democratic revolution...']","['29 KB (3,272 words) - 17:58, 19 October 2023']",[],/wiki/Democracy_in_America,
Democracy,"['Democracy', ' is a government simulation game that was first developed by Positech Games in 2005, with a sequel released in December 2007, a third game in...']","['13 KB (1,331 words) - 23:50, 31 October 2023']",[],/wiki/Democracy_(video_game),
Democracy,"['the political and social issues of China; the wall became known as the ', 'Democracy', ' Wall (Chinese: 西单民主墙; pinyin: Xīdān mínzhǔ qiáng). Under acquiescence...']","['25 KB (2,938 words) - 21:44, 5 September 2023']",[],/wiki/Democracy_Wall,
Goddess of ,"['The Goddess of ', 'Democracy', ', also known as the Goddess of ', 'Democracy', ' and Freedom, the Spirit of ', 'Democracy', ', and the Goddess of Liberty (自由女神; zìyóu nǚshén)...']","['21 KB (2,610 words) - 20:02, 25 September 2023']",[],/wiki/Goddess_of_Democracy,
Democracy,"['Democracy', ' indices are quantitative and comparative assessments of the state of ', 'democracy', ' for different countries according to various definitions of democracy...']","['22 KB (2,133 words) - 09:10, 3 November 2023']",[],/wiki/Democracy_indices,
Arsenal of ,"['""Arsenal of ', 'Democracy', '"" was the central phrase used by U.S. President Franklin D. Roosevelt in a radio broadcast on the threat to national security, delivered...']","['15 KB (1,926 words) - 05:39, 30 October 2023']",[],/wiki/Arsenal_of_Democracy,
National ,"['National ', 'Democracy', ' may refer to: National ', 'Democracy', ' (Czech Republic) National ', 'Democracy', ' (Italy) National ', 'Democracy', ' (Philippines) National ', 'Democracy', ' (Poland)...']","['537 bytes (78 words) - 19:28, 26 September 2023']",[],/wiki/National_Democracy,
Defensive ,"['Defensive ', 'democracy', ' is a term referring to the collection of laws, delegated legislation, and court rulings which limit certain rights and freedoms in...']","['11 KB (1,498 words) - 21:40, 8 November 2023']",[],/wiki/Defensive_democracy,
Chinese ,"['Chinese ', 'Democracy', "" is the sixth studio album by the American hard rock band Guns N' Roses, released on November 23, 2008, by Black Frog and Geffen Records...""]","['228 KB (20,072 words) - 19:48, 4 November 2023']",[],/wiki/Chinese_Democracy,
Economic ,"['Economic ', 'democracy', ' (sometimes called a democratic economy) is a socioeconomic philosophy that proposes to shift ownership and decision-making power from...']","['91 KB (11,478 words) - 16:41, 29 October 2023']",[],/wiki/Economic_democracy,
Majoritarian ,"['Majoritarian ', 'democracy', ' is a form of ', 'democracy', "" based upon majority rule of a polity's citizens. Majoritarian "", 'democracy', ' contrasts with consensus ', 'democracy', ', rule...']","['4 KB (493 words) - 08:19, 25 February 2023']",[],/wiki/Majoritarian_democracy,
People's ,"[""People's "", 'democracy', ' is a theoretical concept within Marxism–Leninism and a form of government which developed after World War II and allows in theory for...']","['15 KB (1,980 words) - 20:28, 30 October 2023']",[],/wiki/People%27s_democracy_(Marxism%E2%80%93Leninism),
Emergent ,"['In politics, emergent ', 'democracy', ' represents the rise of political structures and behaviors without central planning and by the action of many individual...']","['8 KB (845 words) - 02:24, 15 November 2022']",[],/wiki/Emergent_democracy,
Independence/,"['Independence/', 'Democracy', ' (IND/DEM) was a Eurosceptic political group active during the 2004–2009 term of the European Parliament. The group was the successor...']","['37 KB (2,943 words) - 02:16, 31 August 2023']",[],/wiki/Independence/Democracy,
Outline of ,"['following outline is provided as an overview of and topical guide to ', 'democracy', '. ', 'Democracy', ' – form of government which allows people to participate equally—either...']","['15 KB (1,645 words) - 08:14, 7 November 2023']",[],/wiki/Outline_of_democracy,
Liberal ,"['The Liberal ', 'Democracy', ' period in Indonesia (Indonesian: Demokrasi Liberal), also known as the Era of Parliamentary ', 'Democracy', ', was a period in Indonesian...']","['25 KB (2,975 words) - 16:38, 22 October 2023']",[],/wiki/Liberal_democracy_period_in_Indonesia,
Defective ,"['Defective ', 'democracies', ' is a concept that was proposed by the political scientists Wolfgang Merkel, Hans-Jürgen Puhle and Aurel S. Croissant at the beginning...']","['11 KB (1,247 words) - 00:26, 28 October 2023']",[],/wiki/Defective_democracy,
The ,"['The ', 'Democracy', "" Project: A History, a Crisis, a Movement is anthropologist David Graeber's 2013 book-length, inside account of the Occupy Wall Street movement...""]","['11 KB (753 words) - 04:32, 7 March 2023']",[],/wiki/The_Democracy_Project,
National League for ,"[' or other symbols instead of Burmese script. The National League for ', 'Democracy', ' (Burmese: အမျိုးသား ဒီမိုကရေစီ အဖွဲ့ချုပ်, IPA: [ʔəmjóðá dìmòkəɹèsì ʔəpʰwḛdʑoʊʔ];...']","['45 KB (3,679 words) - 12:49, 28 September 2023']",[],/wiki/National_League_for_Democracy,
Democracy,"['The ', 'Democracy', ' Party of China (DPC; simplified Chinese: 中国民主党; traditional Chinese: 中國民主黨; pinyin: Zhōngguó Mínzhǔ Dǎng) is a political party that started...']","['10 KB (1,186 words) - 14:47, 21 August 2023']",[],/wiki/Democracy_Party_of_China,
Pro-,"['The pro-', 'democracy', ' camp, also known as the pan-', 'democracy', ' camp, is a political alignment in Hong Kong that supports increased ', 'democracy', ', namely the universal...']","['60 KB (5,633 words) - 02:54, 12 October 2023']",[],/wiki/Pro-democracy_camp_(Hong_Kong),
Democracy,"['The ', 'Democracy', ' Monument (Thai: อนุสาวรีย์ประชาธิปไตย, romanized:\xa0Anusawari Prachathipatai) is a public monument in the city center of Bangkok, capital...']","['13 KB (1,407 words) - 12:58, 20 October 2023']",[],/wiki/Democracy_Monument,
Jeffersonian ,"['Jeffersonian ', 'democracy', ', named after its advocate Thomas Jefferson, was one of two dominant political outlooks and movements in the United States from...']","['45 KB (5,212 words) - 02:35, 10 October 2023']",[],/wiki/Jeffersonian_democracy,
Democracy,"['Democracy', ' for America (DFA) was a progressive political action committee headquartered in Burlington, Vermont. Founded by former Democratic National Committee...']","['22 KB (2,016 words) - 14:39, 23 October 2023']",[],/wiki/Democracy_for_America,
Democracy,"['Democracy', ' is as an American quarterly political journal. As of 2023, its website describes its focus as not being on policy papers but on bigger-picture...']","['5 KB (366 words) - 03:50, 11 August 2023']",[],/wiki/Democracy_(journal),
Israel ,"['The Israel ', 'Democracy', ' Institute (IDI; Hebrew: המכון הישראלי לדמוקרטיה), established in 1991, is an independent center of research and action dedicated...']","['24 KB (2,801 words) - 18:14, 24 July 2023']",[],/wiki/Israel_Democracy_Institute,
Center for Media and ,"['The Center for Media and ', 'Democracy', ' (CMD) is a progressive nonprofit watchdog and advocacy organization based in Madison, Wisconsin. CMD publishes ExposedbyCMD...']","['20 KB (1,654 words) - 17:28, 24 May 2023']",[],/wiki/Center_for_Media_and_Democracy,
Delegative ,"['In political science, delegative ', 'democracy', ' is a mode of governance close to Caesarism, Bonapartism or caudillismo with a strong leader in a newly created...']","['15 KB (1,944 words) - 10:01, 18 March 2023']",[],/wiki/Delegative_democracy,
Open,"['open', 'Democracy', ' is an independent media platform and news website based in the United Kingdom. Founded in 2001, open', 'Democracy', ' states that through reporting...']","['9 KB (744 words) - 05:13, 23 March 2023']",[],/wiki/OpenDemocracy,
Grassroots ,"['Grassroots ', 'democracy', "" is a tendency towards designing political processes that shift as much decision-making authority as practical to the organization's...""]","['4 KB (386 words) - 23:11, 26 February 2023']",[],/wiki/Grassroots_democracy,
History of direct ,"['Direct ', 'democracy', ' refers to decision making or direct vote a proposal, law, or political issue by the electorate, rather than being voted on by representatives...']","['23 KB (2,807 words) - 00:33, 19 April 2023']",[],/wiki/History_of_direct_democracy_in_the_United_States,
Journal of ,"['Journal of ', 'Democracy', ' is a quarterly academic journal established in 1990 and an official publication of the National Endowment for ', ""Democracy's"", ' International...']","['5 KB (328 words) - 12:58, 3 October 2023']",[],/wiki/Journal_of_Democracy,
Center for ,"['Center for ', 'Democracy', ' & Technology (CDT) is a Washington, D.C.–based 501(c)(3) nonprofit organisation that advocates for digital rights and freedom of...']","['49 KB (5,542 words) - 07:08, 15 September 2023']",[],/wiki/Center_for_Democracy_and_Technology,
Bad for ,"['Bad for ', 'Democracy', ': How the Presidency Undermines the Power of the People (2008) is a non-fiction book written by Vanderbilt professor Dana D. Nelson....']","['16 KB (1,757 words) - 04:08, 22 September 2023']",[],/wiki/Bad_for_Democracy,
Democracy,"['Democracy', '-Dictatorship (DD), index of ', 'democracy', ' and dictatorship or simply the DD index or the DD datasets was the binary measure of ', 'democracy', ' and dictatorship...']","['31 KB (1,699 words) - 10:13, 14 September 2023']",[],/wiki/Democracy-Dictatorship_Index,
Conservative ,"['Conservative ', 'democracy', ' (Turkish: muhafazakâr demokrasi) is a label coined by the ruling Justice and Development Party (AKP) of Turkey to describe Islamic...']","['25 KB (2,071 words) - 08:04, 27 June 2023']",[],/wiki/Conservative_democracy,
Democracy,"['""', 'Democracy', ' Manifest"" (also known as ""Succulent Chinese Meal"", among other names) is an October 1991 Australian news segment video by reporter Chris Reason...']","['17 KB (1,768 words) - 20:55, 22 October 2023']",[],/wiki/Democracy_Manifest,
Guided ,"['Guided ', 'Democracy', ' (Indonesian: Demokrasi Terpimpin) was the political system in place in Indonesia from 1959 until the New Order began in 1966. It was...']","['39 KB (4,818 words) - 20:56, 29 October 2023']",[],/wiki/Guided_Democracy_in_Indonesia,
Direction – Social ,"['Direction – Social ', 'Democracy', ' (Slovak: Smer – sociálna demokracia), stylized as DIRECTION – Slovak Social ', 'Democracy', ' (Slovak: SMER – slovenská sociálna...']","['49 KB (3,703 words) - 10:08, 8 November 2023']",[],/wiki/Direction_%E2%80%93_Social_Democracy,
Taiwan Foundation for ,"['The Taiwan Foundation for ', 'Democracy', ' (TFD; Chinese: 財團法人臺灣民主基金會; pinyin: Cáituán Fǎrén Táiwān Mínzhǔ Jījīnhuì; Pe̍h-ōe-jī: Châi-thoân Hoat-jîn Tâi-oân...']","['7 KB (482 words) - 10:00, 1 October 2023']",[],/wiki/Taiwan_Foundation_for_Democracy,
People's ,"[""People's "", 'Democracy', ' is the English weekly newspaper of the Communist Party of India (Marxist). Prakash Karat, CPI(M) Polit Bureau member is the editor...']","['3 KB (179 words) - 23:33, 5 November 2023']",[],/wiki/People%27s_Democracy_(newspaper),
Chilean transition to ,"['On 11 March 1990, Chile transitioned to a ', 'democracy', ', ending the military regime led by General Augusto Pinochet. This transition lasted 15 years. Unlike...']","['37 KB (4,161 words) - 20:22, 5 November 2023']",[],/wiki/Chilean_transition_to_democracy,
Alliance of ,"['The Alliance of ', 'Democracies', ' Foundation (AoD) is a non-profit organisation dedicated to the advancement of ', 'democracy', ' and free markets across the globe...']","['11 KB (1,020 words) - 00:36, 27 September 2023']",[],/wiki/Alliance_of_Democracies,
Jacksonian ,"['Jacksonian ', 'democracy', ' was a 19th-century political philosophy in the United States that expanded suffrage to most white men over the age of 21 and restructured...']","['48 KB (5,157 words) - 00:49, 31 October 2023']",[],/wiki/Jacksonian_democracy,
Democracy,"['Democracy', "" and economic growth and development have had a strong correlative and interactive relationship throughout history. While evidence of this relationship's...""]","['21 KB (2,878 words) - 08:41, 17 October 2023']",[],/wiki/Democracy_and_economic_growth,
Bureau of ,"['The Bureau of ', 'Democracy', ', Human Rights and Labor Affairs (DRL) is a bureau within the United States Department of State. The bureau is under the purview...']","['9 KB (741 words) - 11:41, 1 November 2023']",[],"/wiki/Bureau_of_Democracy,_Human_Rights,_and_Labor",
Europe–,"['Europe–', 'Democracy', '–Esperanto (EDE, E–D–E, or E° D° E°; Esperanto: Eŭropo–Demokratio–Esperanto) is an electoral list, which participates in the European...']","['7 KB (636 words) - 10:17, 17 May 2022']",[],/wiki/Europe%E2%80%93Democracy%E2%80%93Esperanto,
Herrenvolk ,"['Herrenvolk ', 'democracy', ' is a system of government in which only a specific ethnic group participates in government, while other groups are disenfranchised...']","['6 KB (571 words) - 19:01, 22 October 2023']",[],/wiki/Herrenvolk_democracy,
From Dictatorship to ,"['From Dictatorship to ', 'Democracy', ', A Conceptual Framework for Liberation is a book-length essay on the generic problem of how to destroy a dictatorship and...']","['24 KB (1,913 words) - 19:18, 5 November 2023']",[],/wiki/From_Dictatorship_to_Democracy,
Institute on Religion and ,"['\ufeff38.9033°N 77.0342°W\ufeff / 38.9033; -77.0342 The Institute on Religion and ', 'Democracy', ' (IRD) is an American Christian conservative think tank that promotes its...']","['12 KB (1,078 words) - 01:39, 28 July 2023']",[],/wiki/Institute_on_Religion_and_Democracy,
People's ,"[""People's "", 'Democracy', "" may refer to: People's "", 'democracy', ' (Marxism–Leninism), an ideological concept conceived by communist parties in the aftermath of World...']","['536 bytes (90 words) - 11:34, 8 November 2020']",[],/wiki/People%27s_Democracy,
International Day of ,"['September as the International Day of ', 'Democracy', '—with the purpose of promoting and upholding the principles of ', 'democracy', '—and invited all member states and...']","['10 KB (1,144 words) - 20:49, 1 October 2023']",[],/wiki/International_Day_of_Democracy,
New Serb ,"['New Serb ', 'Democracy', ' (Serbian: Нова српска демократија, romanized:\xa0Nova srpska demokratija, NSD; officially abbreviated NOVA) is a Serbian nationalist right-wing...']","['13 KB (825 words) - 07:43, 2 November 2023']",[],/wiki/New_Serb_Democracy,
Spanish transition to ,"['The Spanish transition to ', 'democracy', ', known in Spain as la Transición (IPA: [la tɾansiˈθjon]; ""the Transition"") or la Transición española (""the Spanish...']","['46 KB (4,826 words) - 23:53, 6 November 2023']",[],/wiki/Spanish_transition_to_democracy,
Online Direct ,"['Online Direct ', 'Democracy', ' – (Empowering the People!) was a registered Australian political party. It was briefly named Climate Action! Immigration Action...']","['7 KB (577 words) - 09:15, 2 March 2023']",[],/wiki/Online_Direct_Democracy,
Non-partisan ,"['Nonpartisan ', 'democracy', ' (also no-party ', 'democracy', ') is a system of representative government or organization such that universal and periodic elections take...']","['28 KB (3,702 words) - 13:20, 27 June 2023']",[],/wiki/Non-partisan_democracy,
Operation Uphold ,"['Operation Uphold ', 'Democracy', "" was a military intervention designed to remove the military regime installed by the 1991 Haitian coup d'état that overthrew...""]","['22 KB (2,475 words) - 13:13, 9 October 2023']",[],/wiki/Operation_Uphold_Democracy,
Party for ,"['Party for ', 'Democracy', ' may refer to: Party for ', 'Democracy', ' (Chile), a Chilean political party. Party for ', 'Democracy', ' in Central Africa, a political party in...']","['793 bytes (132 words) - 23:58, 20 May 2016']",[],/wiki/Party_for_Democracy,
Democracy,"['Democracy', ' is the tenth studio album by English post-punk band Killing Joke, released on 1 April 1996 by Butterfly Records and Big Life. Following their...']","['9 KB (738 words) - 05:10, 2 October 2023']",[],/wiki/Democracy_(album),
Democracy,"['Democracy', ' is the tenth studio album by English post-punk band Killing Joke, released on 1 April 1996 by Butterfly Records and Big Life. Following their...']","['9 KB (738 words) - 05:10, 2 October 2023']",[],/wiki/Democracy_(album),/wiki/Pro-democracy
Charter of ,"['The Charter of ', 'Democracy', ' (Urdu: میثاق جمہوریت) was signed by Nawaz Sharif of Pakistan Muslim League and Benazir Bhutto of Pakistan Peoples Party on May...']","['2 KB (120 words) - 16:19, 20 March 2023']",[],/wiki/Charter_of_Democracy,/wiki/Pro-democracy
Democracy,"['The ', 'Democracy', ' Alliance is a network of progressive donors who coordinate their political donations to groups that the Alliance has endorsed. It has been...']","['15 KB (1,428 words) - 11:21, 2 November 2023']",[],/wiki/Democracy_Alliance,/wiki/Pro-democracy
National ,"['National ', 'Democracy', ' (ND) (Cebuano: nasodnong demokrasya; Filipino: pambansang demokrasya; Ilocano: nailian a demokrasia), known colloquially as natdem...']","['8 KB (795 words) - 07:38, 4 November 2023']",[],/wiki/National_Democracy_(Philippines),/wiki/Pro-democracy
Radical ,"['The Radical ', 'Democracy', ' (Spanish: Democracia Radical, DR), was a Chilean centre-right political party. The party, created in 1969, was dissolved in 1973...']","['7 KB (536 words) - 08:13, 6 March 2023']",[],/wiki/Radical_Democracy_(Chile),/wiki/Pro-democracy
People's Party for Freedom and ,"[""The People's Party for Freedom and "", 'Democracy', ' (Dutch: Volkspartij voor Vrijheid en Democratie, [ˈvɔl(ə)kspɑrˌtɛi voːr ˈvrɛiɦɛit ɛn deːmoːkra:ˈtsi]; VVD)...']","['93 KB (5,159 words) - 21:26, 2 November 2023']",[],/wiki/People%27s_Party_for_Freedom_and_Democracy,/wiki/Pro-democracy
People's ,"[""People's "", 'Democracy', ' Party (Turkish: Halkın Demokrasi Partisi, HADEP) was a Kurdish political party in Turkey. Murat Bozlak founded the party on 11 May...']","['12 KB (1,128 words) - 12:31, 27 September 2023']",[],/wiki/People%27s_Democracy_Party,/wiki/Pro-democracy
Democracy,"['Democracy', ' is Freedom – The Daisy (Italian: Democrazia è Libertà – La Margherita, DL), commonly known simply as The Daisy (La Margherita), was a centrist...']","['23 KB (1,987 words) - 19:51, 6 November 2023']",[],/wiki/Democracy_is_Freedom_%E2%80%93_The_Daisy,/wiki/Pro-democracy
Direct ,"['The Direct ', 'Democracy', ' Party (DDP) of New Zealand (2005–2009) was a political party in New Zealand that promoted greater participation by the people in...']","['4 KB (340 words) - 05:13, 10 January 2021']",[],/wiki/Direct_Democracy_Party_of_New_Zealand,/wiki/Pro-democracy
Daegu ,"['The Daegu ', 'Democracy', ' Movement (also known as the 2.28 Daegu ', 'Democracy', ' Movement) broke out February 28, 1960, ahead of the March 1960 South Korean presidential...']","['5 KB (737 words) - 07:47, 27 November 2021']",[],/wiki/Daegu_Democracy_Movement,/wiki/Pro-democracy
Federalist Christian ,"['The Federalist Christian ', 'Democracy', '-Convention of Federalists for Christian ', 'Democracy', ' (French: Démocratie Chrétienne Fédéraliste–Convention des Fédéralistes...']","['2 KB (81 words) - 21:15, 10 January 2022']",[],/wiki/Federalist_Christian_Democracy_%E2%80%93_Convention_of_Federalists_for_Christian_Democracy,/wiki/Pro-democracy
New ,"['New ', 'Democracy', "", or the New Democratic Revolution, is a concept based on Mao Zedong's Bloc of Four Social Classes theory in post-revolutionary China which...""]","['17 KB (2,161 words) - 19:16, 30 October 2023']",[],/wiki/New_Democracy,/wiki/Pro-democracy
Sectarian ,"['Sectarian ', 'democracies', ' are multifactional countries where the faction with the greatest power has a democratic government that is discriminatory towards...']","['2 KB (199 words) - 23:13, 13 August 2021']",[],/wiki/Sectarian_democracy,/wiki/Pro-democracy
Racial ,"['Racial ', 'democracy', "" (Portuguese: democracia racial) is a term used by some to describe race relations in Brazil. The term denotes some scholars' belief that...""]","['8 KB (969 words) - 21:17, 28 July 2023']",[],/wiki/Racial_democracy,/wiki/Pro-democracy
